rank,major,degree_type,early_career_pay,mid_career_pay,high_meaning_pct,total_tuition_cost,salary_advantage,years_to_break_even,lifetime_advantage,category
426,Interpersonal Communications,Bachelors,51500.0,94600.0,51.0,106372,11500.0,9.249739130434783,1646628.0,Arts & Communications
426,Retail Merchandising,Bachelors,60900.0,94600.0,34.0,106372,20900.0,5.089569377990431,1740628.0,Other
428,Diagnostic Medical Sonography,Bachelors,74100.0,94400.0,85.0,106372,34100.0,3.1194134897360706,1866628.0,Other
428,Fashion,Bachelors,56700.0,94400.0,39.0,106372,16700.0,6.369580838323353,1692628.0,Other
428,Network Administration,Bachelors,56000.0,94400.0,55.0,106372,16000.0,6.64825,1685628.0,Other
428,General & Strategic Management,Bachelors,57300.0,94400.0,52.0,106372,17300.0,6.148670520231214,1698628.0,Business & Economics
432,Accounting & Business,Bachelors,61000.0,94300.0,49.0,106372,21000.0,5.065333333333333,1732628.0,Business & Economics
433,Dental Hygiene,Bachelors,83400.0,94000.0,80.0,106372,43400.0,2.450967741935484,1947628.0,Other
433,Electronic & Computer Technology,Bachelors,76400.0,94000.0,65.0,106372,36400.0,2.9223076923076925,1877628.0,Engineering & Technology
435,Journalism & Electronic Media,Bachelors,53100.0,93900.0,45.0,106372,13100.0,8.12,1641628.0,Arts & Communications
436,Geographic Information Systems (GIS),Bachelors,58000.0,93800.0,53.0,106372,18000.0,5.9095555555555555,1687628.0,Other
436,Toxicology,Bachelors,54900.0,93800.0,,106372,14900.0,7.139060402684564,1656628.0,Other
438,Atmospheric Science,Bachelors,57300.0,93600.0,56.0,106372,17300.0,6.148670520231214,1674628.0,Sciences & Mathematics
439,Retailing,Bachelors,57300.0,93200.0,35.0,106372,17300.0,6.148670520231214,1662628.0,Other
439,Speech Communication,Bachelors,54500.0,93200.0,56.0,106372,14500.0,7.336,1634628.0,Arts & Communications
439,Visual Effects & Motion Graphics,Bachelors,55900.0,93200.0,38.0,106372,15900.0,6.690062893081761,1648628.0,Other
442,Ancient History,Bachelors,53600.0,93100.0,,106372,13600.0,7.821470588235294,1622628.0,Humanities & Social Sciences
443,Broadcast & Cinematic Arts,Bachelors,49400.0,93000.0,42.0,106372,9400.0,11.316170212765957,1577628.0,Arts & Communications
443,Sports Management,Bachelors,53000.0,93000.0,43.0,106372,13000.0,8.182461538461538,1613628.0,Business & Economics
445,Bachelor of Science in Nursing,Bachelors,74300.0,92900.0,88.0,106372,34300.0,3.1012244897959182,1823628.0,Sciences & Mathematics
445,Landscape Architecture,Bachelors,60600.0,92900.0,66.0,106372,20600.0,5.163689320388349,1686628.0,Other
447,Professional Studies,Bachelors,49900.0,92600.0,67.0,106372,9900.0,10.744646464646465,1570628.0,Other
448,Diagnostic Medical Ultrasound,Bachelors,78900.0,92500.0,71.0,106372,38900.0,2.7344987146529562,1857628.0,Other
448,Entomology,Bachelors,51300.0,92500.0,,106372,11300.0,9.413451327433629,1581628.0,Other
448,Foreign Languages,Bachelors,56200.0,92500.0,55.0,106372,16200.0,6.566172839506173,1630628.0,Humanities & Social Sciences
451,Forestry,Bachelors,54000.0,92200.0,68.0,106372,14000.0,7.598,1599628.0,Other
451,Workforce Education & Development,Bachelors,69100.0,92200.0,77.0,106372,29100.0,3.6553951890034364,1750628.0,Education
453,Leadership,Bachelors,55600.0,92100.0,54.0,106372,15600.0,6.818717948717949,1612628.0,Other
453,Geography,Bachelors,58300.0,92100.0,52.0,106372,18300.0,5.812677595628415,1639628.0,Other
455,Global Studies,Bachelors,60400.0,92000.0,47.0,106372,20400.0,5.214313725490196,1657628.0,Other
455,Media Arts,Bachelors,52800.0,92000.0,33.0,106372,12800.0,8.3103125,1581628.0,Arts & Communications
455,Business Leadership,Bachelors,57600.0,92000.0,42.0,106372,17600.0,6.043863636363636,1629628.0,Business & Economics
458,English Language,Bachelors,52800.0,91800.0,48.0,106372,12800.0,8.3103125,1575628.0,Humanities & Social Sciences
459,Agricultural Business,Bachelors,61300.0,91700.0,59.0,106372,21300.0,4.9939906103286384,1657628.0,Business & Economics
460,American Sign Language Interpreting,Bachelors,52700.0,91600.0,85.0,106372,12700.0,8.375748031496062,1568628.0,Humanities & Social Sciences
460,Computer Aided Design (CAD),Bachelors,56400.0,91600.0,,106372,16400.0,6.48609756097561,1605628.0,Engineering & Technology
460,Digital Arts,Bachelors,52000.0,91600.0,36.0,106372,12000.0,8.864333333333333,1561628.0,Arts & Communications
460,Human Resources Management (HRM),Bachelors,56100.0,91600.0,55.0,106372,16100.0,6.60695652173913,1602628.0,Business & Economics
460,Merchandising Management,Bachelors,55800.0,91600.0,48.0,106372,15800.0,6.732405063291139,1599628.0,Business & Economics
465,Music Performance,Bachelors,53400.0,91500.0,56.0,106372,13400.0,7.938208955223881,1572628.0,Arts & Communications
466,Liberal Arts,Bachelors,54300.0,91400.0,52.0,106372,14300.0,7.438601398601398,1578628.0,Arts & Communications
466,Public Administration,Bachelors,55000.0,91400.0,58.0,106372,15000.0,7.091466666666666,1585628.0,Other
466,Geosciences,Bachelors,57800.0,91400.0,62.0,106372,17800.0,5.975955056179775,1613628.0,Sciences & Mathematics
469,Retail Management,Bachelors,62300.0,91300.0,38.0,106372,22300.0,4.770044843049328,1655628.0,Business & Economics
470,Radio/Television & Film Production,Bachelors,52800.0,91200.0,41.0,106372,12800.0,8.3103125,1557628.0,Arts & Communications
471,Fashion Merchandising,Bachelors,55200.0,91000.0,29.0,106372,15200.0,6.998157894736842,1575628.0,Other
471,Mass Communication,Bachelors,52400.0,91000.0,44.0,106372,12400.0,8.578387096774193,1547628.0,Arts & Communications
471,Travel Industry Management,Bachelors,60600.0,91000.0,,106372,20600.0,5.163689320388349,1629628.0,Business & Economics
474,Allied Health,Bachelors,51300.0,90700.0,76.0,106372,11300.0,9.413451327433629,1527628.0,Health & Medicine
474,Electronic Media,Bachelors,52200.0,90700.0,38.0,106372,12200.0,8.719016393442622,1536628.0,Arts & Communications
474,Organizational Leadership & Supervision,Bachelors,56200.0,90700.0,51.0,106372,16200.0,6.566172839506173,1576628.0,Other
477,Homeland Security,Bachelors,57100.0,90500.0,72.0,106372,17100.0,6.2205847953216376,1579628.0,Other
477,Arts Management,Bachelors,46400.0,90500.0,47.0,106372,6400.0,16.620625,1472628.0,Business & Economics
477,Spanish Language,Bachelors,56300.0,90500.0,49.0,106372,16300.0,6.525889570552147,1571628.0,Humanities & Social Sciences
480,3D Animation,Bachelors,58400.0,90400.0,43.0,106372,18400.0,5.781086956521739,1589628.0,Other
481,Business Management & Administration,Bachelors,60700.0,90300.0,52.0,106372,20700.0,5.138743961352657,1609628.0,Business & Economics
481,Marine Biology,Bachelors,49800.0,90300.0,63.0,106372,9800.0,10.854285714285714,1500628.0,Sciences & Mathematics
481,Nuclear Medicine Technology,Bachelors,70300.0,90300.0,80.0,106372,30300.0,3.510627062706271,1705628.0,Health & Medicine
481,Religious Studies,Bachelors,53000.0,90300.0,54.0,106372,13000.0,8.182461538461538,1532628.0,Other
485,English Language & Literature,Bachelors,54200.0,90200.0,44.0,106372,14200.0,7.490985915492958,1541628.0,Humanities & Social Sciences
486,Information & Communication Technology,Bachelors,55500.0,90100.0,54.0,106372,15500.0,6.862709677419355,1551628.0,Arts & Communications
486,Museum Studies,Bachelors,44200.0,90100.0,36.0,106372,4200.0,25.326666666666668,1438628.0,Other
488,Business Technology,Bachelors,64400.0,90000.0,49.0,106372,24400.0,4.359508196721311,1637628.0,Business & Economics
488,Radiologic Science,Bachelors,66000.0,90000.0,81.0,106372,26000.0,4.091230769230769,1653628.0,Sciences & Mathematics
490,Organizational Leadership,Bachelors,58300.0,89900.0,58.0,106372,18300.0,5.812677595628415,1573628.0,Other
490,Animation,Bachelors,52400.0,89900.0,35.0,106372,12400.0,8.578387096774193,1514628.0,Other
492,Art History,Bachelors,55300.0,89800.0,44.0,106372,15300.0,6.952418300653595,1540628.0,Arts & Communications
492,Management & Leadership,Bachelors,60900.0,89800.0,56.0,106372,20900.0,5.089569377990431,1596628.0,Business & Economics
492,Meteorology,Bachelors,54400.0,89800.0,53.0,106372,14400.0,7.3869444444444445,1531628.0,Other
495,Film Production,Bachelors,51800.0,89600.0,38.0,106372,11800.0,9.01457627118644,1499628.0,Arts & Communications
495,Musicology,Bachelors,49500.0,89600.0,,106372,9500.0,11.197052631578947,1476628.0,Arts & Communications
495,Technical Writing,Bachelors,62400.0,89600.0,38.0,106372,22400.0,4.74875,1605628.0,Other
498,Administrative Management,Bachelors,60900.0,89500.0,47.0,106372,20900.0,5.089569377990431,1587628.0,Business & Economics
498,Forestry Management,Bachelors,56100.0,89500.0,68.0,106372,16100.0,6.60695652173913,1539628.0,Business & Economics
500,Automotive Technology & Service Management,Bachelors,63200.0,89400.0,29.0,106372,23200.0,4.585,1607628.0,Business & Economics
501,Historic Preservation,Bachelors,48900.0,89200.0,,106372,8900.0,11.95191011235955,1458628.0,Other
502,Multimedia,Bachelors,52700.0,89000.0,44.0,106372,12700.0,8.375748031496062,1490628.0,Arts & Communications
502,Fashion Marketing & Management,Bachelors,56500.0,89000.0,27.0,106372,16500.0,6.4467878787878785,1528628.0,Business & Economics
504,Organizational Management,Bachelors,57200.0,88900.0,61.0,106372,17200.0,6.184418604651163,1532628.0,Business & Economics
505,Apparel Merchandising,Bachelors,56700.0,88800.0,35.0,106372,16700.0,6.369580838323353,1524628.0,Other
505,Earth Science,Bachelors,58700.0,88800.0,52.0,106372,18700.0,5.688342245989305,1544628.0,Sciences & Mathematics
505,Ethnic Studies,Bachelors,55900.0,88800.0,64.0,106372,15900.0,6.690062893081761,1516628.0,Other
508,German Language & Literature,Bachelors,59400.0,88600.0,44.0,106372,19400.0,5.483092783505155,1545628.0,Humanities & Social Sciences
508,Radiology,Bachelors,63800.0,88600.0,82.0,106372,23800.0,4.469411764705883,1589628.0,Other
508,Zoology,Bachelors,48200.0,88600.0,67.0,106372,8200.0,12.97219512195122,1433628.0,Other
511,Human Nutrition,Bachelors,57700.0,88500.0,81.0,106372,17700.0,6.009717514124294,1525628.0,Other
512,Agricultural Communication,Bachelors,52400.0,88400.0,47.0,106372,12400.0,8.578387096774193,1469628.0,Arts & Communications
512,Audio Engineering,Bachelors,55500.0,88400.0,40.0,106372,15500.0,6.862709677419355,1500628.0,Engineering & Technology
512,Geomatics,Bachelors,59400.0,88400.0,64.0,106372,19400.0,5.483092783505155,1539628.0,Other
515,Broadcast Journalism,Bachelors,51100.0,88300.0,52.0,106372,11100.0,9.583063063063063,1453628.0,Other
516,Cytotechnology,Bachelors,69100.0,88100.0,85.0,106372,29100.0,3.6553951890034364,1627628.0,Other
516,Marketing & Advertising,Bachelors,57000.0,88100.0,46.0,106372,17000.0,6.257176470588235,1506628.0,Business & Economics
